#hg38.knownGene.chrom	hg38.knownGene.txStart	hg38.knownGene.txEnd	hg38.kgXref.kgID	hg38.kgXref.geneSymbol
chr1	39331137	39486987	ENST00000289893.8	MACF1
chr1	26696032	26782110	ENST00000324856.12	ARID1A
chr1	39453836	39486987	ENST00000360115.8	MACF1
chr1	39084166	39486987	ENST00000361689.6	MACF1
chr1	39084131	39486980	ENST00000372915.7	MACF1
chr1	39300313	39486987	ENST00000372925.6	MACF1
chr1	26728911	26780756	ENST00000374152.7	ARID1A
chr1	15847863	15940460	ENST00000375759.7	SPEN
chr1	39462019	39479994	ENST00000422234.2	MACF1
chr1	26766269	26771191	ENST00000430291.2	ARID1A
chr1	26693235	26781177	ENST00000430799.7	ARID1A
chr1	15873501	15911301	ENST00000438066.1	SPEN
chr1	39460746	39486987	ENST00000442046.5	MACF1
chr1	15876575	15920906	ENST00000442985.1	SPEN
chr1	39459122	39486987	ENST00000446276.5	MACF1
chr1	26696403	26780817	ENST00000457599.6	ARID1A
chr1	39467749	39479880	ENST00000462103.1	MACF1
chr1	39462023	39480116	ENST00000462496.5	MACF1
chr1	26772963	26781180	ENST00000466382.2	ARID1A
chr1	39105428	39254648	ENST00000467673.5	MACF1
chr1	39215264	39254440	ENST00000469366.1	MACF1
chr1	39435625	39442289	ENST00000469490.1	MACF1
chr1	15873501	15876711	ENST00000471538.1	SPEN
chr1	39284090	39285330	ENST00000472385.1	MACF1
chr1	39434484	39436007	ENST00000473843.1	MACF1
chr1	39300313	39373473	ENST00000476350.1	MACF1
chr1	39215261	39260540	ENST00000480624.5	MACF1
chr1	39285336	39287613	ENST00000484393.1	MACF1
chr1	39081315	39102981	ENST00000484793.5	MACF1
chr1	39283125	39284220	ENST00000485063.1	MACF1
chr1	15938582	15939544	ENST00000487496.1	SPEN
chr1	39452532	39453749	ENST00000487656.1	MACF1
chr1	39204694	39254375	ENST00000494012.1	MACF1
chr1	39468592	39486217	ENST00000496360.5	MACF1
chr1	39268464	39327225	ENST00000496804.5	MACF1
chr1	39468642	39486987	ENST00000497807.1	MACF1
chr1	39456705	39464909	ENST00000497964.1	MACF1
chr1	39105410	39323008	ENST00000524432.5	MACF1
chr1	26727707	26731318	ENST00000524572.1	ARID1A
chr1	39328368	39331244	ENST00000528611.1	MACF1
chr1	39268526	39357775	ENST00000530262.5	MACF1
chr1	39409502	39428092	ENST00000530275.3	MACF1
chr1	26774869	26780983	ENST00000532781.1	ARID1A
chr1	39204245	39487177	ENST00000564288.5	MACF1
chr1	39084061	39487177	ENST00000567887.5	MACF1
chr1	39081416	39103726	ENST00000602421.5	MACF1
chr1	26729379	26774901	ENST00000615191.4	ARID1A
chr1	26772962	26774962	ENST00000636072.1	ARID1A
chr1	26769173	26772623	ENST00000636110.1	ARID1A
chr1	26729656	26782102	ENST00000636219.1	ARID1A
chr1	26764264	26765878	ENST00000636422.1	ARID1A
chr1	26772966	26774901	ENST00000636794.1	ARID1A
chr1	26752951	26765080	ENST00000636958.1	ARID1A
chr1	26696031	26731568	ENST00000637465.1	ARID1A
chr1	26778098	26781144	ENST00000637788.1	ARID1A
chr1	39410265	39414549	ENST00000641012.1	MACF1
chr2	140231422	142131701	ENST00000389484.7	LRP1B
chr2	140850130	142131005	ENST00000434794.1	LRP1B
chr2	140231771	140358068	ENST00000437977.5	LRP1B
chr2	140238181	140297969	ENST00000442974.1	LRP1B
chr2	141805363	141810401	ENST00000486364.1	LRP1B
chr3	179148522	179240093	ENST00000263967.3	PIK3CA
chr3	179219550	179226017	ENST00000462255.1	PIK3CA
chr3	179149526	179199179	ENST00000468036.1	PIK3CA
chr3	179148113	179198888	ENST00000477735.1	PIK3CA
chr3	179148573	179235098	ENST00000643187.1	PIK3CA
chr5	56815573	56896152	ENST00000399503.3	MAP3K1
chr5	56885952	56896152	ENST00000469188.1	MAP3K1
chr6	151807550	152103274	ENST00000206249.7	ESR1
chr6	151804430	152099053	ENST00000338799.9	ESR1
chr6	151690495	151808166	ENST00000404742.5	ESR1
chr6	151807678	152098978	ENST00000406599.5	ESR1
chr6	151880656	152061059	ENST00000415488.1	ESR1
chr6	151809106	152129619	ENST00000427531.6	ESR1
chr6	151690495	152103274	ENST00000440973.5	ESR1
chr6	151807318	152103274	ENST00000443427.5	ESR1
chr6	151807195	151808259	ENST00000446550.1	ESR1
chr6	151807678	152098978	ENST00000456483.3	ESR1
chr6	151656690	151807857	ENST00000473497.5	ESR1
chr6	151944171	151984165	ENST00000482101.1	ESR1
chr6	151808104	151811278	ENST00000488573.1	ESR1
chr6	151944207	152094568	ENST00000638569.1	ESR1
chr6	151936129	152118399	ENST00000641399.1	ESR1
chr7	152134924	152436005	ENST00000262189.10	KMT2C
chr7	152134928	152436005	ENST00000355193.6	KMT2C
chr7	91940866	92110673	ENST00000356239.7	AKAP9
chr7	91941099	92090621	ENST00000358100.6	AKAP9
chr7	91941099	92110673	ENST00000359028.6	AKAP9
chr7	152134921	152177968	ENST00000360104.7	KMT2C
chr7	92070137	92109061	ENST00000394534.6	AKAP9
chr7	91940925	91996052	ENST00000394564.5	AKAP9
chr7	152152898	152162164	ENST00000418061.1	KMT2C
chr7	152224121	152248019	ENST00000418673.1	KMT2C
chr7	152135532	152163334	ENST00000424877.5	KMT2C
chr7	92083575	92090641	ENST00000435423.1	AKAP9
chr7	91973755	91995713	ENST00000438114.1	AKAP9
chr7	152315264	152435799	ENST00000452749.1	KMT2C
chr7	92098153	92107512	ENST00000463118.1	AKAP9
chr7	152136583	152239069	ENST00000473186.5	KMT2C
chr7	92040703	92043143	ENST00000484815.1	AKAP9
chr7	152152888	152155005	ENST00000485241.1	KMT2C
chr7	92102588	92110467	ENST00000486313.1	AKAP9
chr7	92091988	92110668	ENST00000487258.5	AKAP9
chr7	92097159	92100042	ENST00000487692.1	AKAP9
chr7	152220041	152222067	ENST00000489110.1	KMT2C
chr7	152309933	152312296	ENST00000490130.1	KMT2C
chr7	92057625	92065454	ENST00000491695.1	AKAP9
chr7	91940915	92041781	ENST00000493453.1	AKAP9
chr7	92105676	92107929	ENST00000493976.1	AKAP9
chr7	152134924	152436005	ENST00000558084.5	KMT2C
chr7	152177828	152182219	ENST00000558665.1	KMT2C
chr7	91940915	92041781	ENST00000619023.4	AKAP9
chrX	71118555	71142453	ENST00000333646.10	MED12
chrX	71118722	71142447	ENST00000374080.7	MED12
chrX	71118694	71142454	ENST00000374102.5	MED12
chrX	71118834	71120052	ENST00000429213.2	MED12
chrX	71136593	71140755	ENST00000444034.1	MED12
chrX	71129182	71129862	ENST00000460771.1	MED12
chrX	71126373	71127691	ENST00000462984.1	MED12
chrX	71126260	71127386	ENST00000471663.5	MED12
chrX	71128314	71128820	ENST00000489199.1	MED12
chr10	8054809	8074890	ENST00000346208.4	GATA3
chr10	87863112	87971930	ENST00000371953.7	PTEN
chr10	8054652	8075203	ENST00000379328.8	GATA3
chr10	8058398	8074064	ENST00000461472.1	GATA3
chr10	87864467	87894326	ENST00000462694.1	PTEN
chr10	87952198	87961309	ENST00000472832.2	PTEN
chr10	8053603	8058494	ENST00000481743.2	GATA3
chr10	87864448	87867049	ENST00000487939.1	PTEN
chr10	87925522	87933487	ENST00000498703.1	PTEN
chr10	87864500	87866081	ENST00000618586.1	PTEN
chr10	8045377	8055896	ENST00000643001.1	GATA3
chr10	8054687	8074894	ENST00000645492.1	GATA3
chr11	108222831	108369099	ENST00000278616.8	ATM
chr11	108268409	108271352	ENST00000419286.2	ATM
chr11	108223115	108369102	ENST00000452508.6	ATM
chr11	108287391	108366034	ENST00000524792.5	ATM
chr11	108252820	108253996	ENST00000525012.5	ATM
chr11	108332776	108336153	ENST00000525056.1	ATM
chr11	108346520	108365729	ENST00000525178.5	ATM
chr11	108327393	108329238	ENST00000525537.2	ATM
chr11	108223528	108229364	ENST00000526567.5	ATM
chr11	108353755	108365738	ENST00000527181.1	ATM
chr11	108327644	108329307	ENST00000527389.2	ATM
chr11	108222483	108287714	ENST00000527805.5	ATM
chr11	108223084	108244084	ENST00000527891.5	ATM
chr11	108303021	108315894	ENST00000529588.5	ATM
chr11	108223102	108236534	ENST00000530958.5	ATM
chr11	108287599	108295996	ENST00000531525.2	ATM
chr11	108293384	108295370	ENST00000531957.1	ATM
chr11	108307991	108317467	ENST00000532765.1	ATM
chr11	108223089	108229272	ENST00000532931.5	ATM
chr11	108252820	108253996	ENST00000533526.1	ATM
chr11	108296973	108333908	ENST00000533690.5	ATM
chr11	108287177	108290667	ENST00000533733.5	ATM
chr11	108332761	108336408	ENST00000533979.5	ATM
chr11	108299479	108303029	ENST00000534625.1	ATM
chr11	108224077	108235743	ENST00000601453.2	ATM
chr11	108224782	108231594	ENST00000638443.1	ATM
chr11	108365897	108368750	ENST00000638786.1	ATM
chr11	108223173	108229363	ENST00000639240.1	ATM
chr11	108223171	108229362	ENST00000639953.1	ATM
chr11	108223171	108229363	ENST00000640388.1	ATM
chr12	114670254	114683590	ENST00000257566.7	TBX3
chr12	49018974	49055324	ENST00000301067.11	KMT2D
chr12	114670253	114684164	ENST00000349155.6	TBX3
chr12	49021577	49024624	ENST00000526209.1	KMT2D
chr12	49054379	49059774	ENST00000547610.1	KMT2D
chr12	114677591	114679933	ENST00000548503.1	TBX3
chr12	49035574	49037296	ENST00000549743.1	KMT2D
chr12	49038467	49039299	ENST00000549799.1	KMT2D
chr12	49043077	49043698	ENST00000550356.1	KMT2D
chr12	114679955	114683434	ENST00000552054.1	TBX3
chr12	49030279	49031404	ENST00000552391.1	KMT2D
chr12	49043634	49044522	ENST00000650290.1	KMT2D
chr13	48303725	48481890	ENST00000267163.5	RB1
chr13	48303774	48362908	ENST00000467505.5	RB1
chr13	48444827	48456307	ENST00000480491.1	RB1
chr13	48476446	48480647	ENST00000484879.1	RB1
chr13	48303750	48360737	ENST00000525036.1	RB1
chr13	48476399	48480339	ENST00000531171.5	RB1
chr13	48381249	48599436	ENST00000643064.1	RB1
chr13	48303743	48333216	ENST00000646097.1	RB1
chr13	48303746	48481728	ENST00000650461.1	RB1
chr14	37589983	37595034	ENST00000250448.2	FOXA1
chr14	104769348	104795751	ENST00000349310.7	AKT1
chr14	104769351	104794528	ENST00000402615.6	AKT1
chr14	104769348	104795679	ENST00000407796.6	AKT1
chr14	104770154	104777678	ENST00000544168.5	AKT1
chr14	37591092	37594262	ENST00000545425.2	FOXA1
chr14	104769351	104774680	ENST00000553506.5	AKT1
chr14	37592515	37595110	ENST00000553751.1	FOXA1
chr14	104793512	104795044	ENST00000553797.1	AKT1
chr14	104769971	104773491	ENST00000554192.5	AKT1
chr14	104769348	104794124	ENST00000554581.5	AKT1
chr14	104770192	104773379	ENST00000554585.5	AKT1
chr14	37593874	37594950	ENST00000554607.1	FOXA1
chr14	104773790	104776694	ENST00000554826.1	AKT1
chr14	104770340	104794191	ENST00000554848.5	AKT1
chr14	104775139	104786367	ENST00000555380.1	AKT1
chr14	104769391	104773314	ENST00000555458.5	AKT1
chr14	104769370	104793700	ENST00000555528.5	AKT1
chr14	104776670	104795504	ENST00000555926.1	AKT1
chr14	104774696	104775360	ENST00000556836.1	AKT1
chr14	37595023	37596059	ENST00000557418.1	FOXA1
chr14	104793156	104795743	ENST00000557494.1	AKT1
chr14	104769351	104778571	ENST00000557552.1	AKT1
chr14	104769351	104772963	ENST00000610370.1	AKT1
chr14	104769370	104795555	ENST00000649815.1	AKT1
chr16	68737224	68835548	ENST00000261769.9	CDH1
chr16	68737351	68833536	ENST00000422392.6	CDH1
chr16	68801739	68812240	ENST00000561751.1	CDH1
chr16	68823244	68833584	ENST00000562118.1	CDH1
chr16	68763293	68833538	ENST00000562836.5	CDH1
chr16	68765119	68808848	ENST00000564676.5	CDH1
chr16	68770947	68808747	ENST00000564745.1	CDH1
chr16	68812082	68813413	ENST00000565810.1	CDH1
chr16	68737351	68833536	ENST00000566510.5	CDH1
chr16	68737311	68835030	ENST00000566612.5	CDH1
chr16	68808526	68809003	ENST00000567320.1	CDH1
chr16	68737291	68835541	ENST00000611625.4	CDH1
chr16	68737291	68834281	ENST00000612417.4	CDH1
chr16	68737308	68835534	ENST00000621016.4	CDH1
chr17	16029156	16215549	ENST00000268712.7	NCOR1
chr17	7668401	7687538	ENST00000269305.8	TP53
chr17	39700079	39728662	ENST00000269571.9	ERBB2
chr17	12020823	12143823	ENST00000353533.9	MAP2K4
chr17	31094926	31377677	ENST00000356175.7	NF1
